id_employee,id_last_boss,seniority,work_modality,office_distance,low_health_days,gender,recruitment_channel,average_permanence,salary,performance_score,psi_score,marital_estatus,join_age,join_year,join_month,performance,join_age_group,work_modality_boss,office_distance_boss,low_health_days_boss,gender_boss,recruitment_channel_boss,average_permanence_boss,salary_boss,performance_score_boss,psi_score_boss,marital_estatus_boss,join_age_boss,join_year_boss,join_month_boss,performance_boss,join_age_group_boss,salary_diff,join_days_diff,joined_after_boss,age_diff,younger_than_boss,avg_od_epb,avg_lhd_epb,avg_avgp_epb,avg_sal_epb,avg_ps_epb,avg_psis_epb,avg_ja_epb,boss_employees_in_charge,resign
100247,102074,1,Híbrida,1.76,1,Mujer,Ferias & Networking,1,140011,99,75,Soltero,18,2018,1,high,young,Presencial,1.35,0,Hombre,Ferias & Networking,4,1616000,80,83,Viudo,43,2015,12,high,adult,1475989,-757,1,-28,1,2.487096774193548,2.6774193548387095,5.645161290322581,386773.87096774194,74.09677419354838,72.74193548387096,31.225806451612904,30,0
103355,102115,1,Híbrida,0.76,2,Hombre,Ferias & Networking,2,182774,99,81,Soltero,24,2021,7,high,young,Presencial,2.0,2,Mujer,Portal Web,4,1616000,94,76,Soltero,35,2018,12,high,adult,1433226,-940,1,-14,1,2.941595744680851,2.3191489361702127,7.148936170212766,403097.3617021277,73.34042553191489,75.06382978723404,35.57446808510638,46,1
100669,102060,1,Híbrida,4.95,3,Mujer,Referidos,11,682106,96,74,Viudo,45,2016,7,high,adult,Presencial,4.42,3,Hombre,Referidos,16,1616000,82,62,Casado,45,2013,10,high,adult,933894,-990,1,-4,1,3.314655172413793,2.7241379310344827,8.275862068965518,466331.275862069,76.03448275862068,74.55172413793103,34.37931034482759,28,0
103760,102062,1,Híbrida,13.03,2,Hombre,Linkedin,2,270232,96,82,Soltero,22,2014,7,high,young,Presencial,0.92,2,Mujer,Referidos,6,692000,38,72,Soltero,21,2014,10,low,young,421768,72,0,1,0,4.023529411764706,1.1176470588235294,4.588235294117647,409354.9411764706,77.6470588235294,77.52941176470588,29.176470588235293,16,1
100965,102062,1,Híbrida,13.045,2,Hombre,Linkedin,2,266804,95,82,Soltero,22,2014,7,high,young,Presencial,0.92,2,Mujer,Referidos,6,692000,38,72,Soltero,21,2014,10,low,young,425196,71,0,1,0,4.023529411764706,1.1176470588235294,4.588235294117647,409354.9411764706,77.6470588235294,77.52941176470588,29.176470588235293,16,0
101777,102078,1,Híbrida,0.94,2,Mujer,Portal Web,3,366317,95,70,Soltero,30,2017,3,high,adult,Presencial,2.17,1,Hombre,Ferias & Networking,9,998000,83,76,Casado,29,2017,5,high,adult,631683,55,0,1,0,2.8813793103448275,3.0344827586206895,6.310344827586207,358511.5172413793,74.86206896551724,74.20689655172414,33.206896551724135,28,1
101793,102150,1,Híbrida,2.35,2,Hombre,Portal Web,6,407557,95,69,Soltero,37,2022,4,high,adult,Presencial,3.9,8,Mujer,Portal Web,10,1358450,85,75,Casado,32,2012,12,high,adult,950893,-3414,1,-5,1,2.995217391304348,3.8260869565217392,5.565217391304348,353171.7826086957,84.91304347826087,75.0,35.08695652173913,22,1
101302,102088,1,Híbrida,2.095,1,Mujer,Portal Web,4,851731,95,75,Soltero,36,2018,3,high,adult,Presencial,4.96,1,Mujer,Portal Web,3,488000,82,65,Soltero,20,2018,4,high,young,-363731,23,0,15,0,2.846086956521739,2.9565217391304346,6.304347826086956,430366.3043478261,75.47826086956522,75.8695652173913,31.17391304347826,22,0
102687,102088,1,Híbrida,2.13,2,Mujer,Portal Web,4,849922,95,75,Soltero,36,2018,3,high,adult,Presencial,4.96,1,Mujer,Portal Web,3,488000,82,65,Soltero,20,2018,4,high,young,-361922,20,0,15,0,2.846086956521739,2.9565217391304346,6.304347826086956,430366.3043478261,75.47826086956522,75.8695652173913,31.17391304347826,22,0
100846,102172,1,Híbrida,1.535,1,Hombre,Linkedin,25,836766,93,86,Divorciado,53,2023,3,high,adult,Presencial,5.58,1,Hombre,Portal Web,7,1049000,57,70,Casado,29,2016,4,low,adult,212234,-2521,1,16,0,2.8703174603174606,3.0317460317460316,6.523809523809524,404595.6349206349,75.93650793650794,74.22222222222223,39.06349206349206,62,0
104000,102061,1,Híbrida,5.21,8,Mujer,Linkedin,10,678511,93,87,Divorciado,45,2016,7,high,adult,Presencial,2.14,2,Hombre,Ferias & Networking,10,1203920,37,80,Casado,29,2012,11,low,adult,525409,-1343,1,12,0,3.1385714285714283,2.142857142857143,8.228571428571428,489460.77142857143,76.62857142857143,76.74285714285715,35.628571428571426,34,1
103983,102140,1,Híbrida,4.335,10,Hombre,Portal Web,9,859108,93,75,Viudo,54,2022,8,high,adult,Presencial,2.55,0,Mujer,Portal Web,16,1616000,46,69,Casado,39,2012,2,low,adult,756892,-3850,1,5,0,3.3512068965517243,2.7586206896551726,6.310344827586207,460652.8965517241,77.72413793103448,74.86206896551724,37.48275862068966,28,1
101482,102070,1,Híbrida,1.545,3,Hombre,Ferias & Networking,2,230871,92,76,Soltero,23,2017,2,high,young,Presencial,1.7,1,Mujer,Referidos,4,1616000,77,73,Viudo,38,2013,3,low,adult,1385129,-1450,1,-20,1,3.568275862068966,3.2413793103448274,4.620689655172414,383862.0,75.58620689655173,75.20689655172414,30.275862068965516,28,0
102481,102172,1,Híbrida,1.52,2,Hombre,Linkedin,25,835941,92,86,Divorciado,53,2023,3,high,adult,Presencial,5.58,1,Hombre,Portal Web,7,1049000,57,70,Casado,29,2016,4,low,adult,213059,-2520,1,16,0,2.8703174603174606,3.0317460317460316,6.523809523809524,404595.6349206349,75.93650793650794,74.22222222222223,39.06349206349206,62,0
101068,102161,1,Híbrida,1.1,2,Mujer,Linkedin,2,98281,91,74,Soltero,21,2023,3,high,young,Presencial,3.93,5,Mujer,Portal Web,4,1409960,85,77,Casado,36,2016,10,high,adult,1311679,-2332,1,-22,1,2.665,4.363636363636363,5.2727272727272725,410513.8181818182,77.45454545454545,76.27272727272727,33.81818181818182,10,0
101004,102026,1,Híbrida,1.865,5,Hombre,Portal Web,3,116069,91,76,Soltero,11,2012,7,high,young,Presencial,2.7,1,Mujer,Portal Web,15,1616000,97,79,Casado,58,2017,6,high,adult,1499931,1805,0,-43,1,2.8503703703703707,2.814814814814815,7.0,475384.1111111111,76.29629629629629,75.07407407407408,30.22222222222222,26,1
101846,102021,1,Híbrida,1.065,6,Mujer,Portal Web,1,117243,91,69,Soltero,13,2013,6,high,young,Presencial,2.25,1,Hombre,Linkedin,8,1616000,47,80,Casado,52,2017,3,low,adult,1498757,1383,0,-36,1,2.943947368421053,3.3684210526315788,6.0,453123.3157894737,75.47368421052632,72.94736842105263,30.42105263157895,18,1
100452,102133,1,Híbrida,5.105,0,Mujer,Ferias & Networking,1,141964,91,77,Soltero,21,2020,12,high,young,Híbrida,2.61,2,Hombre,Linkedin,4,1255430,98,65,Soltero,35,2018,2,high,adult,1113466,-1008,1,-18,1,3.071060606060606,2.4242424242424243,6.242424242424242,357643.42424242425,79.0,74.39393939393939,37.78787878787879,32,0
100662,102132,1,Híbrida,3.415,1,Mujer,Portal Web,3,140486,91,85,Soltero,22,2021,4,high,young,Presencial,4.51,1,Hombre,Linkedin,16,1616000,25,80,Viudo,45,2014,3,low,adult,1475514,-2597,1,-30,1,3.427857142857143,3.1904761904761907,5.238095238095238,422883.1904761905,72.61904761904762,76.47619047619048,36.61904761904762,20,1
